Batch Number,Frequent Itemset,Frequency
3,14550 2452 7057,-15307
3,14240 7230 9628,-15305
3,11521 2452 2862,-15304
3,11089 11521 14240,-15301
3,16265 5582 7230,-15297
3,11521 14961 5582 7057,-15292
3,10042 11521 14961,-15287
3,14313 2782,-15283
3,11521 16265 2452 9628,-15271
3,14691 2862,-15270
3,10042 14961 2452,-15264
3,14550 2452 7230,-15262
3,11521 16265 7057,-15243
3,14240 14961 9628,-15242
3,2782 2862,-15239
3,3962 7057,-15236
3,11521 7057 9628,-15224
3,10042 11521 5582,-15212
3,10042 14240 5582,-15212
3,11521 14240 5582 7057 7230,-15207
3,14550 14961 7057,-15191
3,14302,-15190
3,14961 16265 5582,-15188
3,10042 2452 5582,-15179
3,11521 14550 7230,-15178
3,3962 7230,-15178
3,5582 7230 9628,-15169
3,14961 16265 7057,-15167
3,1905 5582,-15167
3,15922,-15158
3,16377 6287,-15157
3,10042 16265 5582 9628,-15156
3,11521 14240 16265 9628,-15156
3,3962 5582,-15155
3,11089 14240 2452,-15146
3,16377 2862,-15143
3,14961 7057 9628,-15141
3,11521 14240 14621 2452,-15138
3,14691 7057 7230,-15133
3,10774,-15131
3,2782 5582,-15128
3,10042 10947,-15127
3,10042 11064,-15126
3,14240 14691 7057,-15125
3,11521 14240 2452 5582 7230,-15113
3,14621 16954,-15106
3,14961 5582 9628,-15104
3,8832,-15094
3,10947 11283,-15078
3,11521 7193,-15073
3,10042 12870,-15069
3,11521 14240 2452 4306,-15067
3,14961 2452 5582 7057,-15057
3,11521 2452 3938,-15038
3,14961 3962,-15029
3,14550 5926,-15010
3,10042 16954 9628,-15001
3,10550,-14997
3,14240 2452 5582 7057 7230,-14990
3,11521 14691 7057,-14987
3,11521 2452 5582 7057 7230,-14983
3,4472,-14979
3,14961 16265 7230,-14975
3,10042 14240 7057 7230,-14974
3,11521 16265 7230,-14974
3,14550 14961 7230,-14972
3,2452 7057 9628,-14970
3,16265 2452 7057,-14965
3,11521 14961 5582 7230,-14960
3,10042 11521 14240 7057,-14958
3,16265 2452 7230,-14957
3,14240 14691 7230,-14939
3,11521 14550 14961,-14937
3,11521 14240 14961 2452 5582,-14918
3,14550 14961 2452,-14911
3,7416,-14909
3,11521 14240 17157,-14908
3,17627 2452,-14905
3,2342,-14901
3,11521 11781,-14900
3,3864,-14900
3,12293 2782,-14886
3,11521 7230 9628,-14879
3,14961 2452 5582 7230,-14879
3,14240 14691 14961,-14878
3,14240 16265 2452 9628,-14874
3,10042 11521 14240 16954,-14867
3,14550 4640,-14864
3,11521 12293 14240,-14862
3,14240 14961 5582 7057 7230,-14846
3,11521 14961 16265,-14843
3,14621 3938 3962,-14841
3,11064 11521 2452,-14839
3,14961 7230 9628,-14835
3,11064 175,-14834
3,9051,-14812
3,2452 7230 9628,-14809
3,12293 12870,-14802
3,10042 11521 2452 7057,-14799
3,15296,-14797
3,12293 14240 2452,-14779
3,2862 6974,-14761
3,10042 11521 14240 7230,-14759
3,14621 14691,-14757
3,14691 2452 7230,-14757
3,2782 7057,-14757
3,10042 14240 2452 7057,-14753
3,14691 2452 7057,-14753
3,3371,-14751
3,14691 16377,-14749
3,11521 14691 7230,-14744
3,13255,-14739
3,16265 16954 9628,-14737
3,11521 14961 9628,-14736
3,11283 7057,-14734
3,11521 14240 14961 5582 7057,-14715
3,11781 2452,-14715
3,11521 14240 16377,-14714
3,10947 7057,-14713
3,10042 14240 16954 2452,-14712
3,14240 17157 2452,-14696
3,10042 14240 2452 7230,-14689
3,14240 7193,-14684
3,14961 16265 2452,-14683
3,11521 17627,-14682
3,13728 3962,-14673
3,10042 11521 2452 7230,-14645
3,17355,-14640
3,10042 11521 7057 7230,-14637
3,9728,-14637
3,11521 14240 3938,-14636
3,10042 14961 7057 7230,-14627
3,6287 7617,-14625
3,10947 7230,-14610
3,10042 16265 16954,-14604
3,11521 14240 14550 7057,-14599
3,10042 11521 14240 14961,-14588
3,11283 14550 2782,-14588
3,14961 2782,-14588
3,11521 14240 2862,-14586
3,14240 14550 7057 7230,-14585
3,2782 7230,-14584
3,17157 2862,-14583
3,14240 16265 7057 7230,-14577
3,14185,-14576
3,11283 7230,-14567
3,14961 2452 9628,-14561
3,14621 2782,-14557
3,10042 2452 7057 7230,-14549
3,12870 2782,-14547
3,5293,-14543
3,10947 14961,-14538
3,11521 14691 14961,-14532
3,16954 17157,-14531
3,14240 2452 2862,-14526
3,11521 14240 7057 9628,-14522
3,11521 14240 16265 7057,-14511
3,11443 11521,-14501
3,14240 7057 7230 9628,-14497
3,16954 7057 7230,-14492
3,11283 14961,-14491
3,14691 14961 7057,-14490
3,10042 14240 14961 2452,-14484
3,14240 16377 2452,-14484
3,8393,-14483
3,11521 14240 2452 5582 7057 7230,-14475
3,11521 14961 5582 7057 7230,-14466
3,14550 6971,-14457
3,14240 14961 2452 5582 7057,-14450
3,10042 6974,-14449
3,14240 16954 7057,-14445
3,11064 5732,-14443
3,11521 14550 2452 7057,-14441
3,4123,-14435
3,12870 4306,-14431
3,10042 11089,-14430
3,14550 5732,-14428
3,14550 3938,-14427
3,14691 14961 2452,-14423
3,16384 16954,-14422
3,11521 12870 2452,-14417
3,14240 14550 2452 7057,-14406
3,10042 14240 14961 7057,-14404
3,11521 14961 2452 5582 7057,-14399
3,11521 14240 14961 5582 7230,-14397
3,11521 16265 2452 5582 9628,-14384
3,14691 6974,-14364
3,10042 11521 14961 2452,-14356
3,11521 2452 6974,-14352
3,12870 16377,-14335
3,11521 14240 14550 7230,-14334
3,14240 2452 3938,-14333
3,10947 14691,-14329
3,5614,-14329
3,14961 16265 7057 7230,-14319
3,10947 5582,-14305
3,11521 14240 16265 5582 9628,-14305
3,11521 5926,-14298
3,14961 2452 5582 7057 7230,-14297
3,16265 5582 7057 7230,-14283
3,11521 14240 16265 7230,-14281
3,11521 16265 2452 7057,-14279
3,14240 14961 2452 5582 7230,-14279
3,14240 14550 2452 7230,-14276
3,2452 5926,-14266
3,14240 16954 7230,-14262
3,10042 14240 14961 7230,-14259
3,14240 16265 2452 7057,-14258
3,11521 2452 7057 9628,-14252
3,14240 2452 7057 9628,-14252
3,14691 14961 7230,-14249
3,11781 14240,-14248
3,11089 11521 14240 2452,-14245
3,11521 14550 7057 7230,-14242
3,11521 16265 7057 7230,-14240
3,12338 17627,-14238
3,13402,-14228
3,11283 9628,-14225
3,11521 14550 2452 7230,-14224
3,10042 11283 16954,-14218
3,11089 4306,-14216
3,11521 14240 7230 9628,-14213
3,14240 14961 16954,-14206
3,12870 2862,-14204
3,11521 14240 16265 2452 9628,-14203
3,10042 11521 14240 2452 7057,-14193
3,11443 2452,-14193
3,11521 14240 14961 16265,-14193
3,5582 7057 7230 9628,-14184
3,11089 16377,-14183
3,11521 16954 7057,-14183
3,14961 7057 7230 9628,-14183
3,14550 14961 7057 7230,-14174
3,13763,-14173
3,1905 9628,-14173
3,14240 16265 5582 7057,-14169
3,12293 5582,-14161
3,14240 16265 2452 7230,-14159
3,798,-14159
3,11443 12338,-14158
3,11521 14240 14691 7057,-14156
3,11521 14240 14550 14961,-14151
3,14240 1905 7057,-14148
3,14550 7193,-14147
3,14550 2452 7057 7230,-14146
3,14240 5582 7057 9628,-14145
3,11521 7057 7230 9628,-14144
3,11521 14961 2452 5582 7230,-14136
3,2743,-14131
3,5760,-14130
3,12293 17157,-14119
3,14240 14961 16265 7057,-14116
3,3860,-14115
3,571 6974,-14115
3,11521 16265 2452 7230,-14105
3,14550 16265 5582,-14103
3,10947 16954,-14101
3,1905 7057 7230,-14096
3,5926 6974,-14083
3,11521 14240 14961 9628,-14071
3,16265 7057 9628,-14069
3,14691 5926,-14062
3,14240 14550 14961 2452,-14060
3,14240 2452 7230 9628,-14053
3,16265 2452 7057 7230,-14050
3,10042 11521 16265,-14049
3,10042 11521 14240 2452 7230,-14043
3,14240 16265 2452 5582 9628,-14040
3,8915,-14036
3,11283 14313,-14035
3,10042 11521 14961 7057,-14031
3,14240 14961 7057 9628,-14031
3,14691 16265 5582,-14031
3,10042 11521 14240 7057 7230,-14030
3,14550 5582 9628,-14021
3,11521 14691 2452 7057,-14020
3,10042 14240 16265,-14016
3,11064 14454,-14010
3,14240 14550 14961 7057,-14008
3,14240 14961 16265 2452,-14007
3,14240 14691 7057 7230,-14006
3,14240 16265 5582 7230,-14004
3,4545,-13995
3,11521 1905 7057,-13991
3,11521 2452 7230 9628,-13988
3,16954 2452 7057,-13987
3,11064 11521 14240,-13980
3,13728 2862,-13978
3,14240 1905 7230,-13978
3,1470,-13975
3,11521 12870 14240,-13971
3,11521 14240 14961 2452 5582 7057,-13971
3,11521 14240 14961 5582 7057 7230,-13965
3,2452 7057 7230 9628,-13965
3,10042 16265 2452,-13963
3,10042 11521 2452 5582,-13959
3,10451,-13956
3,10042 11521 14240 16954 2452,-13955
3,11283 14550 4306,-13951
3,11521 14550 14961 2452,-13945
3,14240 14691 2452 7057,-13945
3,12870 14240 2452,-13944
3,15070,-13939
3,12293 14691,-13934
3,11521 14240 14691 7230,-13933
3,14240 14961 16265 5582,-13932
3,11064 14240 2452,-13931
3,11077,-13931
3,14240 14961 1905,-13931
3,16954 2452 7230,-13931
3,14240 14961 16265 7230,-13930
3,16265 7230 9628,-13922
3,2862 3962,-13915
3,11521 16954 7230,-13913
3,11521 14961 16265 2452,-13911
3,14240 5582 7230 9628,-13910
4,11521,-58041
4,11283,-57280
4,14550,-57056
4,2452,-57006
4,14240,-55741
4,16377,-55644
4,1905,-49505
4,3962,-47679
4,11521 2452,-46835
4,4306,-44938
4,16954,-44729
4,11521 14240,-44317
4,10042,-43440
4,14240 2452,-43305
4,2782,-42624
4,14691,-42290
4,11064,-42105
4,13728,-41799
4,12293,-41117
4,10947,-40408
4,14621,-40025
4,11521 14240 2452,-39659
4,17157,-39455
4,6287,-38986
4,3938,-38919
4,2862,-37647
4,5582,-37112
4,11089,-36981
4,14313,-36737
4,12870,-36348
4,6974,-35699
4,7057,-34800
4,14961,-34643
4,571,-34555
4,7230,-34521
4,14103,-33982
4,16265,-33408
4,9628,-32603
4,15124,-32591
4,5926,-31081
4,7057 7230,-30771
4,14240 7057,-30336
4,14240 14961,-30025
4,14240 7230,-29872
4,11521 7057,-29673
4,14961 7057,-29345
4,2452 7057,-29168
4,2452 7230,-29117
4,11521 7230,-29027
4,14961 7230,-28892
4,11521 14961,-28798
4,8904,-28759
4,14961 2452,-28535
4,10042 16954,-28293
4,6971,-28212
4,16265 5582,-27891
4,11521 14240 7057,-27682
4,16384,-27646
4,11283 14550,-27619
4,14240 7057 7230,-27614
4,7193,-27576
4,886,-27554
4,5582 9628,-27400
4,11521 2452 7057,-27241
4,14240 2452 7057,-27185
4,11521 14240 7230,-27112
4,11607,-27050
4,14961 7057 7230,-27048
4,11521 14240 14961,-26921
4,14240 2452 7230,-26916
4,11521 7057 7230,-26903
4,4640,-26894
4,1220,-26839
4,11521 2452 7230,-26819
4,5732,-26805
4,6037,-26777
4,14454,-26752
4,2452 7057 7230,-26597
4,14240 14961 2452,-26591
4,14240 14961 7057,-26461
4,3624,-26442
4,11812,-26401
4,11521 14961 2452,-26352
4,11283 16377,-26152
4,11781,-26129
4,14240 14961 7230,-26018
4,11521 14240 2452 7057,-25907
4,15107,-25905
4,7234,-25644
4,11521 14961 7057,-25638
4,17627,-25559
4,5862,-25515
4,11521 14240 2452 7230,-25477
4,11521 14240 7057 7230,-25463
4,7624,-25430
4,14961 2452 7057,-25257
4,11521 14240 14961 2452,-25123
4,12317,-25106
4,14240 2452 7057 7230,-25104
4,11521 2452 7057 7230,-25072
4,11521 14961 7230,-25050
4,17169,-25036
4,14961 2452 7230,-24946
4,16879,-24904
4,16265 9628,-24902
4,11521 1905,-24815
4,11443,-24807
4,8327,-24757
4,14240 14961 7057 7230,-24703
4,14691 2452,-24665
4,11521 14691,-24577
4,7617,-24533
4,3290,-24529
4,1905 2452,-24492
4,12338,-24410
4,11521 14240 14961 7057,-24399
4,14550 2452,-24386
4,12155,-24379
4,11089 3962,-24329
4,14550 16377,-24320
4,14358,-24300
4,11521 14550,-24235
4,6972,-24099
4,11521 14240 2452 7057 7230,-24030
4,10042 2452,-24025
4,14240 14961 2452 7057,-23968
4,10042 11521,-23937
4,11521 14961 7057 7230,-23918
4,457,-23871
4,11521 14240 14961 7230,-23843
4,11521 14961 2452 7057,-23810
4,14240 14550,-23799
4,8596,-23687
4,14240 14961 2452 7230,-23664
4,14961 2452 7057 7230,-23650
4,14240 1905,-23616
4,11521 5582,-23553
4,14240 5582,-23540
4,10042 14240,-23387
4,11521 14961 2452 7230,-23339
4,2452 5582,-23339
4,6029,-23333
4,14621 3962,-23302
4,14240 14691,-23065
4,16265 5582 9628,-23037
4,16668,-23014
4,11521 14240 14961 2452 7057,-22952
4,11521 14240 14961 7057 7230,-22911
4,13614,-22894
4,11521 3962,-22869
4,11283 2782,-22771
4,1110,-22748
4,5317,-22735
4,14550 4306,-22711
4,2452 3962,-22660
4,14550 2782,-22651
4,14240 14961 2452 7057 7230,-22604
4,2913,-22529
4,11521 14240 14961 2452 7230,-22509
4,10042 14550,-22469
4,11521 14961 2452 7057 7230,-22407
4,14240 3962,-22248
4,15844,-22128
4,11283 4306,-22090
4,2372,-22073
4,12582,-22066
4,1962,-21998
4,10042 5582,-21994
4,15582,-21959
4,13728 2782,-21953
4,11283 2452,-21862
4,11283 11521,-21861
4,15205,-21851
4,16377 4306,-21822
4,14621 3938,-21792
4,11521 16954,-21740
4,12870 14550,-21701
4,11521 14240 14961 2452 7057 7230,-21697
4,11521 14691 2452,-21619
4,4577,-21546
4,13081,-21525
4,14550 2862,-21497
4,11521 1905 2452,-21474
4,11283 17157,-21450
4,16954 2452,-21425
4,10042 11521 2452,-21415
4,9960,-21403
4,9340,-21343
4,12232,-21325
4,11521 14550 2452,-21281
4,2452 2782,-21230
4,14240 16265,-21193
4,11521 2452 5582,-21182
4,11521 16265,-21181
4,11521 2782,-21156
4,12293 3290,-21077
4,14240 16954,-21074
4,5496,-21059
4,11283 14240,-21050
4,1905 3962,-20988
4,16265 2452,-20973
4,6206,-20966
4,14410,-20960
4,11521 9628,-20889
4,11521 14240 5582,-20871
4,14240 9628,-20863
4,11040,-20818
4,5085,-20798
4,1865,-20783
4,1798,-20681
4,14240 2452 5582,-20621
4,12293 14550,-20616
4,11521 13728,-20612
4,10042 11521 14240,-20583
4,14550 17157,-20571
4,2452 9628,-20561
4,175,-20484
4,14240 2782,-20479
4,11521 14240 14550,-20467
4,10947 3962,-20463
4,10042 14240 2452,-20421
4,11521 14240 1905,-20416
4,11521 14240 14691,-20407
4,13728 2452,-20381
4,6797,-20342
4,14240 14550 2452,-20326
4,7745,-20297
4,11283 13728,-20295
4,11283 3962,-20294
4,10042 16265,-20257
4,14550 6974,-20255
4,4432,-20237
4,14240 14691 2452,-20148
4,14240 1905 2452,-20137
4,11089 14621,-20126
4,11521 2452 3962,-20083
4,14550 3962,-20083
4,11781 16954,-19971
4,14550 16954,-19950
4,3938 3962,-19914
4,17088,-19833
4,14928,-19830
4,14550 14691,-19818
4,17157 2782,-19750
4,3605,-19739
4,12672,-19732
4,2452 4306,-19717
4,1180,-19698
4,12918,-19634
4,10042 11283,-19631
4,14538,-19619
4,13728 14240,-19615
4,11521 4306,-19517
4,13728 14550,-19489
4,16954 5582,-19474
4,11521 14240 2452 5582,-19468
4,15062,-19464
4,10947 14240,-19428
4,11283 14621,-19410
4,10042 9628,-19294
4,3106,-19290
4,5582 7057,-19272
4,10947 2452,-19231
4,11521 16954 2452,-19226
4,11521 14240 3962,-19224
4,10947 11521,-19216
4,14621 2452,-19188
4,10042 11521 14240 2452,-19172
4,4656,-19161
4,10042 11781,-19133
4,11521 16265 2452,-19095
4,11022,-19092
4,12074,-19078
4,11337,-19072
4,5582 7230,-19046
4,6428,-19041
4,11521 14621,-19017
4,14240 2452 3962,-19009
4,14961 5582,-19007
4,14240 4306,-19001
4,11521 14240 14691 2452,-18956
4,11064 14550,-18935
4,11283 1905,-18928
4,11521 14240 14550 2452,-18928
4,11283 16954,-18927
4,11283 11521 2452,-18923
4,11521 14240 1905 2452,-18863
4,11521 14240 16265,-18848
4,11521 2452 9628,-18809
4,8782,-18752
4,4266,-18747
4,10042 14691,-18718
4,11521 2452 2782,-18666
4,14240 14621,-18654
4,17324,-18641
4,11521 14240 9628,-18629
4,16377 2782,-18617
4,14240 16265 5582,-18612
4,14240 16265 2452,-18596
4,6099,-18575
4,11521 16265 5582,-18547
4,11521 14240 16954,-18540
4,16954 1905,-18534
4,16272,-18515
4,14550 1905,-18513
4,14240 5582 9628,-18411
4,16954 9628,-18395
4,11521 5582 9628,-18384
4,16265 2452 5582,-18374
4,4996,-18337
4,15755,-18320
4,14240 16954 2452,-18302
4,11089 2452,-18289
4,7233,-18288
4,14240 2452 9628,-18285
4,14550 5582,-18281
4,10042 2782,-18230
4,11443 17627,-18207
4,4345,-18185
4,14621 1905,-18182
4,13728 17157,-18178
4,11152,-18166
4,11089 11521,-18156
4,12034,-18150
4,10820,-18119
4,14367,-18112
4,11283 11521 14240,-18093
4,2452 5582 9628,-18089
4,13728 14691,-18076
4,11521 16377,-18070
4,3079,-18069
4,16377 17157,-18063
4,6196,-18056
4,16242,-18046
4,10042 1905,-18032
4,14550 14621,-18001
4,16377 2452,-17971
4,10042 16265 5582,-17947
4,2862 4306,-17922
4,11283 14240 2452,-17898
4,12911,-17890
4,11521 14240 2782,-17887
4,11283 2862,-17868
4,11521 13728 2452,-17850
4,17157 2452,-17847
4,11521 17157,-17818
4,11064 12293,-17807
4,11521 14240 2452 3962,-17790
4,10042 7057,-17779
4,12293 2452,-17751
4,14240 2452 2782,-17707
4,10042 7230,-17698
4,11283 12870,-17678
4,1905 3938,-17671
4,11283 14691,-17660
4,1542,-17658
4,14691 5582,-17631
4,2452 2862,-17628
4,11521 14240 16265 2452,-17601
4,5582 7057 7230,-17588
4,14550 7057,-17587
4,16377 16954,-17577
4,14312,-17571
4,10042 14961,-17529
4,10042 3962,-17525
4,12470,-17520
4,14240 5582 7057,-17514
4,11521 12293,-17505
4,11064 6974,-17480
4,14550 7230,-17480
4,16954 2782,-17474
4,14550 8904,-17459
4,16265 16954,-17458
4,10042 4306,-17419
4,13728 16377,-17410
4,11521 2862,-17404
4,11064 2452,-17397
4,3151,-17392
4,3962 4306,-17390
4,2122,-17389
4,11521 14240 2452 9628,-17360
4,14550 14961,-17356
4,11089 14240,-17355
4,12293 14240,-17344
4,6274,-17316
4,11521 3938,-17310
4,14240 16377,-17300
4,13651,-17258
4,11064 571,-17251
4,11521 14240 16954 2452,-17239
4,11064 11521,-17232
4,14240 14961 5582,-17221
4,11521 2452 4306,-17220
4,14240 5582 7230,-17219
4,14691 2782,-17210
4,8764,-17207
4,10947 11089,-17184
4,10042 5582 9628,-17167
4,11521 5582 7057,-17156
4,14240 3938,-17155
4,12293 5732,-17142
4,7057 9628,-17133
4,14240 17157,-17122
4,11064 5926,-17110
4,16265 7057,-17106
4,11521 13728 14240,-17074
4,2782 4306,-17070
4,10042 11521 16954,-17069
4,2452 3938,-17063
4,14691 4306,-17048
4,16265 7230,-17003
4,14961 5582 7057,-16984
4,14961 16265,-16982
4,16377 3962,-16977
4,10947 11521 2452,-16976
4,14454 457,-16971
4,10042 12293,-16968
4,12785,-16967
4,10042 16954 2452,-16965
4,11089 1905,-16954
4,14313 16377,-16952
4,14691 1905,-16924
4,11521 14621 2452,-16923
4,191,-16902
4,11521 16265 2452 5582,-16893
4,14240 16265 9628,-16889
4,17154,-16880
4,2452 5582 7057,-16865
4,14961 9628,-16852
4,14240 2862,-16847
4,7230 9628,-16834
4,11521 16265 9628,-16831
4,2452 5582 7230,-16810
4,12293 2862,-16809
4,10947 1905,-16798
4,13728 14240 2452,-16787
4,10947 11521 14240,-16778
4,1144,-16769
4,11521 5582 7230,-16758
4,14691 7057,-16750
4,11521 14240 16265 5582,-16734
4,13728 1905,-16728
4,11521 2452 5582 9628,-16707
4,9254,-16696
4,14961 5582 7230,-16695
4,11283 11521 14240 2452,-16692
4,2452 6974,-16684
4,14691 16954,-16676
4,13593,-16646
4,12870 2452,-16643
4,10042 14240 16954,-16641
4,10042 11781 16954,-16632
4,2660,-16613
4,11521 14240 5582 9628,-16602
4,11521 14240 2452 2782,-16600
4,16265 2452 9628,-16592
4,11521 14961 5582,-16579
4,10947 14240 2452,-16576
4,10947 14621,-16575
4,14691 7230,-16562
4,9592,-16557
4,12870 14240,-16549
4,14240 16265 2452 5582,-16521
4,11521 12870,-16513
4,11521 14240 4306,-16486
4,10042 13728,-16485
4,16954 3962,-16469
4,14050,-16460
4,10947 3938,-16442
4,16377 1905,-16436
4,14961 2452 5582,-16435
4,14691 14961,-16419
4,1905 2782,-16405
4,11064 2862,-16389
4,10042 2862,-16388
4,14240 2452 4306,-16378
4,1905 4306,-16372
4,11521 6974,-16369
4,12605,-16358
4,11283 12293,-16336
4,11521 14240 5582 7057,-16332
4,12161,-16331
4,11064 14240,-16327
4,14240 2452 5582 9628,-16316
4,16954 4306,-16301
4,11283 4640,-16266
4,14240 5582 7057 7230,-16265
4,16147,-16264
4,11089 11283,-16252
4,11521 14240 14621,-16247
4,13359,-16234
4,10042 17157,-16228
4,14550 16265,-16221
4,10042 7057 7230,-16196
4,16954 5582 9628,-16195
4,11089 3938,-16161
4,14621 4306,-16152
4,8644,-16152
4,15425,-16147
4,10042 14240 7057,-16140
4,14240 14621 2452,-16139
4,10947 14550,-16135
4,7767,-16122
4,13728 16954,-16119
4,13728 4306,-16119
4,11089 11521 2452,-16114
4,10042 16265 9628,-16087
4,14240 2452 5582 7057,-16064
4,3917,-16059
4,11521 2452 5582 7057,-16057
4,14691 3962,-16042
4,11283 8904,-16041
4,14691 16265,-16041
4,17339,-16037
4,16954 7057,-16023
4,16128,-16012
4,14550 9628,-16007
4,17157 4306,-15985
4,10042 16954 5582,-15979
4,11521 14240 5582 7230,-15975
4,11283 3938,-15970
4,13673,-15963
4,10042 14240 7230,-15938
4,10042 14240 14961,-15907
4,11521 5582 7057 7230,-15901
4,14240 2452 5582 7230,-15901
4,14240 6974,-15898
4,14961 5582 7057 7230,-15897
4,6205,-15879
4,14240 16265 5582 9628,-15872
4,10042 11521 7057,-15871
4,14550 7057 7230,-15871
4,11521 14240 14961 5582,-15862
4,9471,-15839
4,30,-15819
4,5515,-15819
4,11521 16265 5582 9628,-15817
4,2152,-15815
4,11521 2452 5582 7230,-15812
4,14621 16377,-15812
4,14240 14550 7057,-15809
4,16954 7230,-15795
4,14691 9628,-15773
4,14961 16954,-15768
4,2452 5582 7057 7230,-15756
4,14240 14961 5582 7057,-15751
4,11521 13728 14240 2452,-15747
4,1905 7057,-15740
4,12293 6974,-15737
4,11089 14550,-15728
4,16265 7057 7230,-15727
4,14149,-15720
4,313,-15718
4,10042 2452 7230,-15716
4,10042 2452 7057,-15704
4,11521 14240 16265 2452 5582,-15700
4,11283 6287,-15691
4,14240 14961 2452 5582,-15686
4,14550 571,-15680
4,10042 14621,-15667
4,11064 14691,-15667
4,14240 16265 7057,-15656
4,14240 7057 9628,-15652
4,7057 7230 9628,-15646
4,14240 14550 14961,-15609
4,17560,-15605
4,14240 14550 7230,-15602
4,11521 17157 2452,-15594
4,16265 2452 5582 9628,-15570
4,10042 14550 16954,-15567
4,10042 11521 7230,-15564
4,10042 14961 7057,-15562
4,1905 7230,-15557
4,16265 16954 5582,-15555
4,14382,-15554
4,11521 14240 2452 5582 9628,-15553
4,10947 11521 14240 2452,-15536
4,6739,-15534
4,11064 11283,-15525
4,11521 14961 2452 5582,-15521
4,14240 14961 16265,-15518
4,11521 14550 7057,-15511
4,11089 14621 3962,-15487
4,11283 14550 16377,-15487
4,14961 1905,-15484
4,16265 5582 7057,-15481
4,14240 14961 5582 7230,-15480
4,10042 11521 16954 2452,-15479
4,11521 14240 2452 5582 7057,-15477
4,2782 3962,-15475
4,14240 16265 7230,-15463
4,11521 16377 2452,-15438
4,5582 7057 9628,-15425
4,2452 7193,-15413
4,11521 2452 2862,-15402
4,10042 14961 7230,-15396
4,14691 17157,-15388
4,10042 16377,-15386
4,12870 17157,-15381
4,11283 5582,-15377
4,16265 5582 7230,-15377
4,11521 16265 2452 9628,-15356
4,11521 16265 7057,-15354
4,16452,-15352
4,14240 14961 9628,-15345
4,11521 12293 2452,-15339
4,10042 14961 2452,-15337
4,10042 11521 14961,-15335
4,14240 7230 9628,-15332
4,14550 2452 7057,-15321
4,11521 7057 9628,-15315
4,11521 14961 5582 7057,-15313
4,11521 14240 2452 4306,-15304
4,14550 2452 7230,-15298
4,14691 2862,-15297
4,14961 16265 5582,-15281
4,11521 14240 5582 7057 7230,-15274
4,10774,-15267
4,11521 14240 16265 9628,-15267
4,14313 2782,-15262
4,1905 5582,-15257
4,16377 6287,-15251
4,10042 14240 5582,-15236
4,14240 14691 7057,-15236
4,2782 2862,-15236
4,10042 11521 5582,-15222
4,3962 7057,-15219
4,11521 14240 2452 5582 7230,-15218
4,10042 2452 5582,-15209
4,11089 11521 14240,-15208
4,10042 10947,-15206
4,14961 16265 7057,-15206
4,14550 14961 7057,-15197
4,2782 5582,-15195
4,10042 12870,-15175
4,5582 7230 9628,-15169
4,8832,-15169
4,11521 14550 7230,-15168
4,10042 16265 5582 9628,-15158
4,14302,-15158
4,16377 2862,-15154
4,14961 7057 9628,-15148
4,14550 5926,-15146
4,10042 11064,-15135
4,14691 7057 7230,-15132
4,11521 14691 7057,-15127
4,11521 14240 14621 2452,-15126
4,10947 11283,-15124
4,11521 2452 3938,-15116
4,14961 5582 9628,-15114
4,3962 5582,-15111
4,14240 2452 5582 7057 7230,-15097
4,14961 2452 5582 7057,-15095
4,11521 11781,-15075
4,11521 2452 5582 7057 7230,-15073
4,16265 2452 7057,-15073
4,10042 11521 14240 7057,-15071
4,15922,-15069
4,16265 2452 7230,-15069
4,11521 16265 7230,-15057
4,11089 14240 2452,-15055
4,3962 7230,-15049
4,14621 16954,-15043
4,14961 16265 7230,-15039
4,11521 7193,-15034
4,2452 7057 9628,-15032
4,14550 4640,-15020
4,11521 14240 14961 2452 5582,-15013
4,14240 14691 7230,-15009
4,14240 16265 2452 9628,-15004
4,2342,-14998
4,11521 14550 14961,-14987
4,10042 16954 9628,-14980
4,14550 14961 7230,-14978
4,10042 14240 7057 7230,-14967
4,11521 14961 5582 7230,-14967
4,11521 14961 16265,-14961
4,3864,-14955
4,14240 14691 14961,-14954
4,17627 2452,-14950
4,10042 11521 14240 16954,-14949
4,14550 14961 2452,-14946
4,10550,-14945
4,14961 2452 5582 7230,-14943
4,11521 7230 9628,-14935
4,14961 3962,-14933
4,11521 14240 17157,-14911
4,10042 11521 2452 7057,-14907
4,9051,-14901
4,11064 11521 2452,-14883
4,10042 14240 2452 7057,-14881
4,14691 2452 7057,-14881
4,2452 7230 9628,-14872
4,14240 14961 5582 7057 7230,-14867
4,14961 7230 9628,-14863
4,13728 3962,-14845
4,14621 3938 3962,-14844
4,2782 7057,-14839
4,14691 2452 7230,-14837
4,4472,-14837
4,11521 14961 9628,-14823
4,11781 2452,-14823
4,2862 6974,-14809
4,11064 175,-14808
4,14961 16265 2452,-14808
4,11521 12293 14240,-14798
4,11521 14691 7230,-14798
4,12293 12870,-14794
4,11521 14240 14961 5582 7057,-14786
4,10042 11521 14240 7230,-14783
4,10042 14240 16954 2452,-14781
4,12293 2782,-14776
4,10042 14240 2452 7230,-14768
4,11283 7057,-14766
4,11521 17627,-14753
4,12293 14240 2452,-14750
4,7416,-14739
4,14621 14691,-14736
4,16265 16954 9628,-14732
4,10042 16265 16954,-14717
4,14240 17157 2452,-14715
4,17157 2862,-14715
4,10042 11521 2452 7230,-14713
